,Name,GenreId
363,Rosas De Ouro 2001,10
364,Mocidade Alegre 2001,10
365,Camisa Verde 2001,10
366,Leandro De Itaquera 2001,10
367,Tucuruvi 2001,10
368,Aguia De Ouro 2001,10
369,Ipiranga 2001,10
370,Morro Da Casa Verde 2001,10
371,Perola Negra 2001,10
372,Sao Lucas 2001,10
373,Guanabara,7
374,Mas Que Nada,7
375,Vôo Sobre o Horizonte,7
376,A Paz,7
377,Wave (Vou te Contar),7
378,Água de Beber,7
379,Samba da Bençaco,7
380,Pode Parar,7
381,Menino do Rio,7
382,Ando Meio Desligado,7
383,Mistério da Raça,7
384,All Star,7
385,Menina Bonita,7
386,Pescador de Ilusões,7
387,À Vontade (Live Mix),7
388,Maria Fumaça,7
389,Sambassim (dj patife remix),7
390,Garota De Ipanema,7
391,Tim Tim Por Tim Tim,7
392,Tarde Em Itapoã,7
393,Tanto Tempo,7
394,Eu Vim Da Bahia - Live,7
395,Alô Alô Marciano,7
396,Linha Do Horizonte,7
397,Only A Dream In Rio,7
398,Abrir A Porta,7
399,Alice,7
400,Momentos Que Marcam,7
401,Um Jantar Pra Dois,7
402,Bumbo Da Mangueira,7
403,Mr Funk Samba,7
404,Santo Antonio,7
405,Por Você,7
406,Só Tinha De Ser Com Você,7
407,Free Speech For The Dumb,3
408,It's Electric,3
409,Sabbra Cadabra,3
410,Turn The Page,3
411,Die Die My Darling,3
412,Loverman,3
413,Mercyful Fate,3
414,Astronomy,3
415,Whiskey In The Jar,3
416,Tuesday's Gone,3
417,The More I See,3
418,A Kind Of Magic,1
419,Under Pressure,1
420,Radio GA GA,1
421,I Want It All,1
422,I Want To Break Free,1
423,Innuendo,1
424,It's A Hard Life,1
425,Breakthru,1
426,Who Wants To Live Forever,1
427,Headlong,1
428,The Miracle,1
429,I'm Going Slightly Mad,1
430,The Invisible Man,1
431,Hammer To Fall,1
432,Friends Will Be Friends,1
433,The Show Must Go On,1
434,One Vision,1
435,Detroit Rock City,1
436,Black Diamond,1
437,Hard Luck Woman,1
438,Sure Know Something,1
439,Love Gun,1
440,Deuce,1
441,Goin' Blind,1
442,Shock Me,1
443,Do You Love Me,1
444,She,1
445,I Was Made For Loving You,1
446,Shout It Out Loud,1
447,God Of Thunder,1
448,Calling Dr. Love,1
449,Beth,1
450,Strutter,1
451,Rock And Roll All Nite,1
452,Cold Gin,1
453,Plaster Caster,1
454,God Gave Rock 'n' Roll To You,1
455,Heart of the Night,2
456,De La Luz,2
457,Westwood Moon,2
458,Midnight,2
459,Playtime,2
460,Surrender,2
461,Valentino's,2
462,Believe,2
463,As We Sleep,2
464,When Evening Falls,2
465,J Squared,2
466,Best Thing,2
467,Maria,4
468,Poprocks And Coke,4
469,Longview,4
470,Welcome To Paradise,4
471,Basket Case,4
472,When I Come Around,4
473,She,4
474,J.A.R. (Jason Andrew Relva),4
475,Geek Stink Breath,4
476,Brain Stew,4
477,Jaded,4
478,Walking Contradiction,4
479,Stuck With Me,4
480,Hitchin' A Ride,4
481,Good Riddance (Time Of Your Life),4
482,Redundant,4
483,Nice Guys Finish Last,4
484,Minority,4
485,Warning,4
486,Waiting,4
487,Macy's Day Parade,4
488,Into The Light,1
489,River Song,1
490,She Give Me ...,1
491,Don't You Cry,1
492,Love Is Blind,1
493,Slave,1
494,Cry For Love,1
495,Living On Love,1
496,Midnight Blue,1
497,Too Many Tears,1
498,Don't Lie To Me,1
499,Wherever You May Go,1
500,Grito De Alerta,7
501,Não Dá Mais Pra Segurar (Explode Coração),7
502,Começaria Tudo Outra Vez,7
503,O Que É O Que É ?,7
504,Sangrando,7
505,"Diga Lá, Coração",7
506,Lindo Lago Do Amor,7
507,Eu Apenas Queria Que Voçê Soubesse,7
508,Com A Perna No Mundo,7
509,E Vamos À Luta,7
510,Um Homem Também Chora (Guerreiro Menino),7
511,Comportamento Geral,7
512,Ponto De Interrogação,7
513,"Espere Por Mim, Morena",7
514,Meia-Lua Inteira,7
515,Voce e Linda,7
516,Um Indio,7
517,Podres Poderes,7
518,Voce Nao Entende Nada - Cotidiano,7
519,O Estrangeiro,7
520,Menino Do Rio,7
521,Qualquer Coisa,7
522,Sampa,7
523,Queixa,7
524,O Leaozinho,7
525,Fora Da Ordem,7
526,Terra,7
527,"Alegria, Alegria",7
528,Balada Do Louco,4
529,Ando Meio Desligado,4
530,Top Top,4
531,Baby,4
532,A E O Z,4
533,Panis Et Circenses,4
534,Chão De Estrelas,4
535,Vida De Cachorro,4
536,Bat Macumba,4
537,Desculpe Babe,4
538,Rita Lee,4
539,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",4
540,Banho De Lua,4
541,Meu Refrigerador Não Funciona,4
542,Burn,1
543,Stormbringer,1
544,Gypsy,1
545,Lady Double Dealer,1
546,Mistreated,1
547,Smoke On The Water,1
548,You Fool No One,1
549,Custard Pie,1
550,The Rover,1
551,In My Time Of Dying,1
552,Houses Of The Holy,1
553,Trampled Under Foot,1
554,Kashmir,1
555,Imperatriz,7
556,Beija-Flor,7
557,Viradouro,7
558,Mocidade,7
559,Unidos Da Tijuca,7
560,Salgueiro,7
561,Mangueira,7
562,União Da Ilha,7
563,Grande Rio,7
564,Portela,7
565,Caprichosos,7
566,Tradição,7
567,Império Serrano,7
568,Tuiuti,7
569,(Da Le) Yaleo,1
570,Love Of My Life,1
571,Put Your Lights On,1
572,Africa Bamba,1
573,Smooth,1
574,Do You Like The Way,1
575,Maria Maria,1
576,Migra,1
577,Corazon Espinado,1
578,Wishing It Was,1
579,El Farol,1
580,Primavera,1
581,The Calling,1
582,Solução,7
583,Manuel,7
584,Entre E Ouça,7
585,Um Contrato Com Deus,7
586,Um Jantar Pra Dois,7
587,Vamos Dançar,7
588,Um Love,7
589,Seis Da Tarde,7
590,Baixo Rio,7
591,Sombras Do Meu Destino,7
592,Do You Have Other Loves?,7
593,Agora Que O Dia Acordou,7
594,Já!!!,7
595,A Rua,7
596,Now's The Time,2
597,Jeru,2
598,Compulsion,2
599,Tempus Fugit,2
600,Walkin',2
601,'Round Midnight,2
602,Bye Bye Blackbird,2
603,New Rhumba,2
604,Generique,2
605,Summertime,2
606,So What,2
607,The Pan Piper,2
608,Someday My Prince Will Come,2
609,My Funny Valentine (Live),2
610,E.S.P.,2
611,Nefertiti,2
612,Petits Machins (Little Stuff),2
613,Miles Runs The Voodoo Down,2
614,Little Church (Live),2
615,Black Satin,2
616,Jean Pierre (Live),2
617,Time After Time,2
618,Portia,2
619,Space Truckin',1
620,Going Down / Highway Star,1
621,Mistreated (Alternate Version),1
622,You Fool No One (Alternate Version),1
623,Jeepers Creepers,2
624,Blue Rythm Fantasy,2
625,Drum Boogie,2
626,Let Me Off Uptown,2
627,Leave Us Leap,2
628,Opus No.1,2
629,Boogie Blues,2
630,How High The Moon,2
631,Disc Jockey Jump,2
632,Up An' Atom,2
633,Bop Boogie,2
634,Lemon Drop,2
635,Coronation Drop,2
636,Overtime,2
637,Imagination,2
