time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2003-02-12 14:55;42.116;-8.119;0;2.7;mblg;6;;;;us;usp000bqj5;2014-11-06 20:17;3 km SSW of Quintela de Leirado, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-12 11:11;36.617;-7.97;0;2.5;mblg;8;;;;us;usp000bqhu;2014-11-06 20:17;44 km S of Faro, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-02-12 06:33;38.371;0.943;19.4;2.7;mblg;9;;;;us;usp000bqhb;2014-11-06 20:17;56 km SW of Sant Francesc de Formentera, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-12 05:05;42.145;-9.596;6.8;2.8;mblg;10;;;;us;usp000bqh4;2014-11-06 20:17;61 km W of Baiona, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-10 17:38;38.137;-0.232;10.9;2.5;mblg;28;;;;us;usp000bqdr;2014-11-06 20:17;29 km ESE of Santa Pola, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-10 04:10;37.877;-1.817;0;2.9;mblg;7;;;;us;usp000bqcq;2014-11-06 20:17;22 km SW of Bullas, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-10 01:07;43.083;-0.361;2;3.1;ml;28;;;;us;usp000bqcg;2014-11-06 20:17;4 km E of Louvie-Juzon, France;earthquake;;;;;reviewed;ldg;ldg
2003-02-09 10:25;50.377;7.429;10;3.7;ml;47;;;0.73;us;usp000bqay;2014-11-06 20:17;1 km SE of Saffig, Germany;earthquake;;;;;reviewed;us;ldg
2003-02-09 05:31;43.105;-0.491;3;2.5;ml;16;;;;us;usp000bqaq;2014-11-06 20:17;4 km W of Arudy, France;earthquake;;;;;reviewed;ldg;ldg
2003-02-09 03:35;48.044;8.004;17;2.5;ml;26;;;;us;usp000bqaj;2014-11-06 20:17;3 km NNW of Sankt Peter, Germany;earthquake;;;;;reviewed;ldg;ldg
2003-02-08 03:04;41.564;-5.974;1;2.5;mblg;9;;;;us;usp000bq88;2014-11-06 20:17;7 km NE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-07 13:08;45.415;6.513;2;2.6;ml;19;;;;us;usp000bq6w;2014-11-06 20:17;3 km N of Saint-Martin-de-Belleville, France;earthquake;;;;;reviewed;ldg;str
2003-02-07 11:47;38.301;-0.814;5;3.4;mblg;33;;;;us;usp000bq6m;2014-11-06 20:17;3 km ESE of Hondón de las Nieves, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-06 22:45;46.005;2.935;4;2.7;ml;30;;;;us;usp000bq55;2014-11-06 20:17;4 km N of Manzat, France;earthquake;;;;;reviewed;ldg;str
2003-02-06 12:27;44.447;6.748;0.2;2.7;ml;32;;;;us;usp000bq40;2014-11-06 20:17;3 km NNE of Jausiers, France;earthquake;;;;;reviewed;gen;gen
2003-02-06 05:43;47.067;0.661;4;2.6;ml;12;;;;us;usp000bq37;2014-11-06 20:17;5 km SSE of Sainte-Maure-de-Touraine, France;earthquake;;;;;reviewed;ldg;ldg
2003-02-06 05:34;40.827;1.784;0;3;ml;30;;;;us;usp000bq35;2014-11-06 20:17;43 km SSE of Cunit, Spain;earthquake;;;;;reviewed;mdd;ldg
2003-02-06 04:23;44.447;6.757;1;2.9;ml;43;;;;us;usp000bq32;2014-11-06 20:17;3 km NNE of Jausiers, France;earthquake;;;;;reviewed;gen;ldg
2003-02-05 15:51;47;7;4;2.8;ml;46;;;;us;usp000bq23;2014-11-06 20:17;1 km S of Marin-Epagnier, Switzerland;earthquake;;;;;reviewed;zur;zamg
2003-02-05 15:03;51.1;6.1;10;2.8;ml;16;;;;us;usp000bq20;2014-11-06 20:17;3 km W of Wassenberg, Germany;earthquake;;;;;reviewed;ldg;ldg
2003-02-04 15:49;45.967;7.704;3.5;3.6;ml;135;;;;us;usp000bq0a;2014-11-06 20:17;6 km SSW of Zermatt, Switzerland;earthquake;;;;;reviewed;gen;ldg
2003-02-04 15:04;38.822;-3.011;10.7;2.8;mblg;17;;;;us;usp000bq08;2014-11-06 20:17;2 km SW of Carrizosa, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-02-03 11:18;44.617;7.035;5.3;2.5;ml;21;;;;us;usp000bpxu;2014-11-06 20:17;0 km SE of Pontechianale, Italy;earthquake;;;;;reviewed;gen;gen
2003-02-03 08:11;47.007;6.966;5;3.4;ml;70;;;;us;usp000bpxf;2014-11-06 20:17;1 km WSW of Saint-Blaise, Switzerland;earthquake;;;;;reviewed;ldg;zamg
2003-02-03 08:01;37.663;-1.868;0;2.7;mblg;7;;;;us;usp000bpxe;2014-11-06 20:17;12 km NNW of Puerto Lumbreras, Spain;earthquake;;;;;reviewed;mdd;mdd
